"","probability_first_option_wins","size","probability"
"370",0.34,1119,0.499207718250596
"371",0.34,1122,0.499456325774853
"372",0.34,1125,0.499704572761559
"373",0.34,1128,0.499952460658876
"374",0.34,1131,0.500199990909885
"375",0.34,1134,0.500447164941984
"376",0.34,1137,0.500693984176302
"377",0.34,1140,0.500940450023476
"378",0.34,1143,0.501186563883339
"379",0.34,1146,0.501432327147317
"380",0.34,1149,0.501677741197092
"381",0.34,1152,0.501922807403094
"382",0.34,1155,0.502167527129712
"383",0.34,1158,0.50241190172866
"384",0.34,1161,0.502655932544978
"385",0.34,1164,0.502899620912409
"386",0.34,1167,0.503142968158685
"387",0.34,1170,0.503385975598879
"388",0.34,1173,0.503628644542923
"389",0.34,1176,0.503870976289564
"390",0.34,1179,0.504112972128037
"391",0.34,1182,0.504354633343302
"392",0.34,1185,0.50459596120665
"393",0.34,1188,0.504836956983665
"394",0.34,1191,0.505077621932768
"395",0.34,1194,0.50531795729921
"396",0.34,1197,0.505557964326714
"397",0.34,1200,0.505797644245856
"398",0.34,1203,0.506036998279891
"399",0.34,1206,0.506276027647466
"400",0.34,1209,0.506514733554311
"401",0.34,1212,0.506753117201874
"402",0.34,1215,0.506991179783148
"403",0.34,1218,0.507228922480999
"404",0.34,1221,0.50746634647618
"405",0.34,1224,0.507703452935798
"406",0.34,1227,0.507940243022878
"407",0.34,1230,0.50817671789299
"408",0.34,1233,0.508412878692279
"409",0.34,1236,0.508648726561114
"410",0.34,1239,0.508884262634086
"411",0.34,1242,0.509119488035461
"412",0.34,1245,0.509354403883213
"413",0.34,1248,0.509589011290891
"414",0.34,1251,0.509823311363162
"415",0.34,1254,0.510057305196429
"416",0.34,1257,0.510290993881937
"417",0.34,1260,0.510524378505019
"418",0.34,1263,0.510757460142093
"419",0.34,1266,0.510990239863421
"420",0.34,1269,0.511222718735612
"421",0.34,1272,0.511454897812766
"422",0.34,1275,0.511686778147862
"423",0.34,1278,0.511918360787277
"424",0.34,1281,0.512149646765602
"425",0.34,1284,0.512380637117594
"426",0.34,1287,0.512611332866847
"427",0.34,1290,0.512841735033939
"428",0.34,1293,0.513071844632433
"429",0.34,1296,0.513301662669188
"430",0.34,1299,0.513531190145129
"431",0.34,1302,0.513760428055205
"432",0.34,1305,0.513989377389331
"433",0.34,1308,0.514218039129875
"434",0.34,1311,0.51444641425285
"435",0.34,1314,0.514674503733272
"436",0.34,1317,0.514902308533747
"437",0.34,1320,0.515129829614887
"438",0.34,1323,0.515357067932853
"439",0.34,1326,0.515584024432687
"440",0.34,1329,0.515810700062307
"441",0.34,1332,0.516037095756723
"442",0.34,1335,0.516263212446121
"443",0.34,1338,0.516489051060779
"444",0.34,1341,0.516714612520581
"445",0.34,1344,0.516939897741727
"446",0.34,1347,0.51716490763346
"447",0.34,1350,0.517389643103219
"448",0.34,1353,0.517614105049399
"449",0.34,1356,0.517838294367921
"450",0.34,1359,0.518062211947538
"451",0.34,1362,0.51828585867532
"452",0.34,1365,0.518509235427885
"453",0.34,1368,0.518732343083406
"454",0.34,1371,0.51895518250887
"455",0.34,1374,0.51917775456925
"456",0.34,1377,0.519400060126056
"457",0.34,1380,0.519622100031362
"458",0.34,1383,0.519843875138711
"459",0.34,1386,0.520065386291616
"460",0.34,1389,0.520286634331778
"461",0.34,1392,0.52050762009419
"462",0.34,1395,0.520728344411052
"463",0.34,1398,0.520948808106999
"464",0.34,1401,0.521169012007262
"465",0.34,1404,0.521388956927374
"466",0.34,1407,0.521608643679664
"467",0.34,1410,0.521828073076068
"468",0.34,1413,0.522047245914932
"469",0.34,1416,0.522266163001252
"470",0.34,1419,0.522484825129454
"471",0.34,1422,0.52270323308709
"472",0.34,1425,0.522921387663553
"473",0.34,1428,0.523139289641367
"474",0.34,1431,0.523356939797099
"475",0.34,1434,0.523574338905191
"476",0.34,1437,0.523791487735202
"477",0.34,1440,0.524008387053647
"478",0.34,1443,0.524225037620766
"479",0.34,1446,0.524441440194169
"480",0.34,1449,0.524657595527484
"481",0.34,1452,0.524873504369261
"482",0.34,1455,0.525089167465161
"483",0.34,1458,0.525304585555942
"484",0.34,1461,0.525519759379737
"485",0.34,1464,0.525734689669139
"486",0.34,1467,0.525949377155269
"487",0.34,1470,0.526163822562271
"488",0.34,1473,0.526378026611538
"489",0.34,1476,0.526591990021836
"490",0.34,1479,0.526805713508272
"491",0.34,1482,0.527019197779632
"492",0.34,1485,0.527232443544125
"493",0.34,1488,0.527445451505337
"494",0.34,1491,0.527658222360499
"495",0.34,1494,0.527870756808099
"496",0.34,1497,0.52808305553903
"497",0.34,1500,0.528295119242633
"498",0.34,1503,0.528506948604754
"499",0.34,1506,0.52871854430388
"500",0.34,1509,0.528929907020967
"501",0.34,1512,0.529141037429489
"502",0.34,1515,0.529351936201757
"503",0.34,1518,0.529562604005288
"504",0.34,1521,0.529773041503095
"505",0.34,1524,0.529983249357077
"506",0.34,1527,0.530193228225191
"507",0.34,1530,0.530402978762598
"508",0.34,1533,0.530612501617427
"509",0.34,1536,0.530821797441315
"510",0.34,1539,0.531030866875215
"511",0.34,1542,0.53123971056156
"512",0.34,1545,0.531448329140616
"513",0.34,1548,0.531656723243743
"514",0.34,1551,0.531864893505307
"515",0.34,1554,0.532072840552791
"516",0.34,1557,0.532280565011553
"517",0.34,1560,0.532488067503711
"518",0.34,1563,0.532695348649978
"519",0.34,1566,0.532902409065186
"520",0.34,1569,0.533109249362219
"521",0.34,1572,0.533315870151461
"522",0.34,1575,0.533522272042273
"523",0.34,1578,0.533728455636167
"524",0.34,1581,0.533934421535723
"525",0.34,1584,0.534140170338787
"526",0.34,1587,0.534345702640649
"527",0.34,1590,0.534551019034083
"528",0.34,1593,0.534756120108838
"529",0.34,1596,0.534961006452338
"530",0.34,1599,0.535165678646855
"531",0.34,1602,0.535370137274819
"532",0.34,1605,0.535574382915177
"533",0.34,1608,0.535778416142324
"534",0.34,1611,0.535982237528128
"535",0.34,1614,0.536185847646172
"536",0.34,1617,0.536389247060146
"537",0.34,1620,0.536592436337148
"538",0.34,1623,0.536795416038337
"539",0.34,1626,0.5369981867236
"540",0.34,1629,0.537200748948382
"541",0.34,1632,0.537403103267573
"542",0.34,1635,0.53760525023178
"543",0.34,1638,0.537807190392384
"544",0.34,1641,0.538008924293321
"545",0.34,1644,0.538210452479472
"546",0.34,1647,0.538411775491532
"547",0.34,1650,0.538612893867093
"548",0.34,1653,0.53881380814479
"549",0.34,1656,0.539014518856736
"550",0.34,1659,0.539215026534217
"551",0.34,1662,0.539415331706418
"552",0.34,1665,0.539615434898726
"553",0.34,1668,0.539815336634819
"554",0.34,1671,0.540015037439259
"555",0.34,1674,0.540214537827611
"556",0.34,1677,0.540413838318087
"557",0.34,1680,0.540612939425124
"558",0.34,1683,0.540811841658995
"559",0.34,1686,0.541010545531559
"560",0.34,1689,0.541209051550465
"561",0.34,1692,0.541407360217754
"562",0.34,1695,0.541605472038301
"563",0.34,1698,0.541803387512195
"564",0.34,1701,0.542001107137852
"565",0.34,1704,0.542198631409692
"566",0.34,1707,0.542395960824319
"567",0.34,1710,0.542593095870624
"568",0.34,1713,0.542790037040477
"569",0.34,1716,0.542986784818779
"570",0.34,1719,0.543183339690782
"571",0.34,1722,0.543379702138624
"572",0.34,1725,0.543575872645441
"573",0.34,1728,0.543771851688833
"574",0.34,1731,0.543967639743469
"575",0.34,1734,0.544163237284299
"576",0.34,1737,0.544358644786011
"577",0.34,1740,0.544553862713952
"578",0.34,1743,0.544748891540378
"579",0.34,1746,0.544943731729069
"580",0.34,1749,0.545138383745388
"581",0.34,1752,0.545332848049896
"582",0.34,1755,0.545527125103959
"583",0.34,1758,0.54572121536328
"584",0.34,1761,0.545915119284423
"585",0.34,1764,0.546108837324024
"586",0.34,1767,0.546302369931281
"587",0.34,1770,0.546495717557037
"588",0.34,1773,0.54668888064806
"589",0.34,1776,0.546881859652021
"590",0.34,1779,0.547074655011749
"591",0.34,1782,0.54726726717103
"592",0.34,1785,0.547459696570706
"593",0.34,1788,0.547651943646589
"594",0.34,1791,0.547844008837365
"595",0.34,1794,0.548035892578284
"596",0.34,1797,0.548227595300362
"597",0.34,1800,0.548419117435769
"598",0.34,1803,0.548610459413012
"599",0.34,1806,0.548801621662374
"600",0.34,1809,0.548992604605064
"601",0.34,1812,0.549183408666578
"602",0.34,1815,0.549374034270896
"603",0.34,1818,0.549564481836848
"604",0.34,1821,0.549754751783293
"605",0.34,1824,0.549944844525593
"606",0.34,1827,0.550134760479653
"607",0.34,1830,0.550324500060575
"608",0.34,1833,0.550514063676698
"609",0.34,1836,0.550703451739338
"610",0.34,1839,0.550892664657819
"611",0.34,1842,0.551081702837313
"612",0.34,1845,0.551270566681934
"613",0.34,1848,0.551459256596699
"614",0.34,1851,0.551647772981738
"615",0.34,1854,0.551836116236223
"616",0.34,1857,0.552024286760798
"617",0.34,1860,0.552212284948579
"618",0.34,1863,0.552400111196719
"619",0.34,1866,0.55258776589754
"620",0.34,1869,0.552775249445133
"621",0.34,1872,0.552962562224823
"622",0.34,1875,0.553149704628791
"623",0.34,1878,0.553336677042637
"624",0.34,1881,0.553523479853319
"625",0.34,1884,0.553710113442696
"626",0.34,1887,0.553896578193889
"627",0.34,1890,0.554082874486701
"628",0.34,1893,0.554269002701411
"629",0.34,1896,0.554454963214424
"630",0.34,1899,0.554640756402853
"631",0.34,1902,0.554826382639849
"632",0.34,1905,0.555011842300276
"633",0.34,1908,0.555197135757054
"634",0.34,1911,0.555382263376221
"635",0.34,1914,0.555567225528579
"636",0.34,1917,0.555752022582827
"637",0.34,1920,0.555936654903518
"638",0.34,1923,0.556121122853465
"639",0.34,1926,0.556305426796914
"640",0.34,1929,0.556489567095306
"641",0.34,1932,0.556673544108563
"642",0.34,1935,0.556857358194208
"643",0.34,1938,0.557041009711982
"644",0.34,1941,0.557224499016082
"645",0.34,1944,0.557407826459272
